linkId,insightId,link
2nu3w0z1c,pvu6t0h23,https://airc.nist.gov/docs/NIST.AI.600-1.GenAI-Profile.ipd.pdf#page=8.63
dpwneaiuf,pvu6t0h23,https://huggingface.co/datasets/ibm/SocialStigmaQA
s8jnuzx8u,pvu6t0h23,https://fairlearn.org/
6cb1848yy,pvu6t0h23,https://aif360.res.ibm.com/
tuscvwvnz,pvu6t0h23,https://storage.googleapis.com/deepmind-media/DeepMind.com/Blog/ethics-of-advanced-ai-assistants/the-ethics-of-advanced-ai-assistants-2024-i.pdf#page=137.274
gcdsccnmb,knkyf9q34,https://facctconference.org/static/papers24/facct24-56.pdf
bac90mmlr,z306lik5f,https://airc.nist.gov/docs/NIST.AI.600-1.GenAI-Profile.ipd.pdf#page=15.63
gkro0w4tw,y8hdnq806,https://docs.google.com/presentation/d/1KfhUKTbX91nQTrsgvR2zTXdTKypPayyvoUadq6kH24o/edit#slide=id.p
0su3dd4vh,6evc2i3cu,https://storage.googleapis.com/deepmind-media/DeepMind.com/Blog/ethics-of-advanced-ai-assistants/the-ethics-of-advanced-ai-assistants-2024-i.pdf#page=99.274
eslt2ja0f,ka7pbgju3,https://journals.sagepub.com/doi/full/10.1177/14757257211037149
1xs5hp4cf,ka7pbgju3,https://www.microsoft.com/en-us/research/uploads/prodnew/2024/03/GenAI_AppropriateReliance_Published2024-3-21.pdf
nejhrgl9d,i0973hx8f,https://oecd.ai/en/dashboards/ai-principles/P7
z65t5mkar,i0973hx8f,https://www.microsoft.com/en-us/research/uploads/prod/2023/05/RAI-MM-for-PDF-printing-PUBLISHED-May-17.pdf#page=34.09
xhmg8erto,i0973hx8f,https://ai.google.dev/responsible/docs/design#transparency-artifacts


